Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673,-20.73714562
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.218726375,3.314980684,3.8022274,4.019359685,2.088063376,-3.481630373,8.515501123
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.7,3.2,1.3,1.2,1,-5.1,3.5
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.149606299,-1.679389313,-6.98757764,2.671118531,-0.487804878,5.065359477,-1.866251944
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.949417981
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.939999999,-2.579999996,-0.15,-1.316312102,-0.699999998,-5.6,1.1
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.825293099,5.496459204,3.14432324,6.883640817,4.862236166,-20.19237057,5.27084884
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.943235134,10.39824946
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.2,5.7
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.54362966,2.116716123,5.482371174,5.257855673,0.635029268,-18.58909978,17.17250851
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.152735906,2.730547992,2.282183642,2.883045123,2.171396224,-0.050885336,2.236212439
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.014501586,1.989437162,2.258572433,2.425385361,1.517388583,-6.453968467,4.556850913
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.093975916,-3.09999988,0.199999939,1.5,2.500000067,-4.300000102,5.600037273
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.996800846,-0.857664319,3.050157348,1.831007794,1.896163703,-23.82260759,13.71973494
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.485378558,3.558128119,4.290949778,2.111130473,2.166964669,-4.935854979,2.225351242
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.552639879,7.113478213,6.590249998,7.31941263,7.881915151,3.448021455,6.938675089
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.472619872,2.533024882,0.456290513,-1.0271391,-0.131147253,-13.31102153,-0.189272866
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.829570558,-2.526446436,2.5321835,3.149197594,1.4,-0.699607614,2.299879412
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.041459009,1.266686409,1.619580278,1.792945193,2.24085824,-5.361386633,6.133865964
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.367633302,0.113122172,-1.694915254,1.103448276,4.502046385,-13.40295909,15.22613065
