Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.26394074,18.86627814,11.67157257,2.19580451,4.539317283,2.370641508,4.092614763,4.800351995,-0.567201754,-1.830023738,3.854744451,-1.027089526,-1.689536653,4.918353851,2.369192993,-2.134006061,0.117317036,6.318776765,-1.379148395,-0.049084365,1.838730741,0.577087557,-12.76604288,-3.827012996,2.400342452,-1.833977356,5.635317503,-0.709567171,2.885166185,1.515937914,4.917138767,4.73833114,0.181215792,-18.69832489,17.22530032
Africa Eastern and Southern,AFE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-2.360093093,5.11213155,2.346032967,1.728251328,2.418551445,1.070188146,2.35805852,1.112651564,2.312797007,1.731752098,2.390470239,-0.696691317,1.498094201,2.819074589,-1.210286673,-0.114390862,-1.594719545,-1.91043998,-0.330075031,2.379360413,1.273695637,-2.534701404,-2.767346703,0.073064074,-3.315174846,-0.706909875,1.145936732,1.064226264,0.063231055,-2.860377068,-2.605620909,-4.479523892,-2.967371,-0.580264108,1.628756181,2.669064744,1.805889059,-0.652243831,0.090308488,0.750995728,1.036420739,1.265661533,0.466079711,2.788589203,3.361068655,3.757256466,3.719489508,1.495308477,-2.053726497,2.373742073,0.936366201,-1.850848324,1.402217261,1.182822434,0.169095106,-0.490755267,-0.106816094,-0.172926597,-0.596607,-5.433164392,1.64307984
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.927029128,-2.497254639,7.321873841,1.084988201,11.80338266,1.864754466,17.14353433,11.09921992,-3.211364296,8.247144252,2.002522145,-0.964803329,-1.666416415,-0.345802497,-0.253593782,-1.688576593,0.932833389,-5.364665931,-22.96529586
Africa Western and Central,AFW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-0.274916275,1.592993827,4.982989937,3.11251654,1.774232636,-3.989427019,-11.60749135,-0.830934548,12.92933947,15.23423382,8.240090498,0.695523705,1.669577803,7.466572175,-4.746516596,5.730859567,1.947858451,-4.900252126,2.326441571,-0.808477961,-9.561724024,-6.096234194,-9.041348994,-2.01568361,2.773814592,-1.271973026,-1.220033042,2.074023582,-0.484023399,3.843232436,-1.474265001,-0.021442925,-3.738596721,-2.866296311,-0.76052568,1.887667372,1.496010571,0.757349993,-1.257193055,0.96746547,2.352157043,6.931811484,2.641241871,5.051311757,2.928476492,2.476822797,2.636160144,3.355066293,3.349094643,4.004890236,1.947735058,2.259185273,3.256966796,3.094595125,0.021241575,-2.530711829,-0.39008582,0.269736033,0.542604688,-3.426405394,1.357097905
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-7.738347877,-3.528441229,0.498296559,2.24177897,-0.163475064,-0.704614526,0.564519377,2.614974829,-3.274912568,-6.626409313,-2.312501779,-8.848293617,-26.34912367,-1.850621046,11.27842237,9.825457822,3.755519392,1.313926106,-1.062724886,-0.234945633,0.838227322,9.937307249,-0.466060748,7.127076561,11.00956557,7.614219203,9.935108707,7.163046012,-2.797289984,1.015922259,-0.347039841,4.536024436,1.101887143,1.028262426,-2.646419994,-6.01178347,-3.633445779,-4.676621686,-4.014917079,-8.635446212,-2.050716696
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,3.648648547,0.795840071,-1.016802172,-3.307497202,-0.290595348,3.614655544,-2.749496379,-3.262522334,6.923617285,-11.1879053,-27.56682084,-6.622551212,10.22994935,8.969761659,14.02449593,9.780179879,-10.36110497,9.516484438,13.60806912,7.630022439,9.314397139,4.850475334,5.924211542,5.956569596,6.067882439,6.572922982,6.787228936,8.328108423,4.053139864,4.223083827,2.821642455,1.584872815,1.187234353,1.985388092,2.516827054,3.480293217,3.897740606,4.276325654,2.523893723,-2.925820957,9.526027041
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,-2.526105334,0.997233297,0.890676964,-0.920696156,-5.41248286,-2.528959038,-2.660724654,-3.598624899,-4.552935268,-2.007515147,-3.847772185,-2.979354964,-2.846185526,-2.435730489,-1.480965856,-0.812964068,1.049155172,0.821046214,0.797489469,0.042320625,-0.904014454,-2.328613182,-4.165030095,-0.771998475,-0.330383518,2.661055932,8.165547743,2.396919986,3.355457446,2.83605354,5.372532989,0.076702358,4.196837094,3.882383777,1.578040219,4.292621435,4.22037542,-2.935382027,-2.478037072,1.222687703,1.340893892,-5.571255543,-4.026027034,2.140938982,1.257416013,2.574504588,-1.41657902,-0.003870296,0.23829657,-12.73507756,7.110481275
Arab World,ARB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,11.77205313,4.469315517,-3.632364784,7.413365701,5.378893626,0.167493664,-11.14693626,-9.162001316,-1.794555308,-4.948990135,1.357901573,-2.946480353,3.012493458,-0.404768034,8.68604591,0.212118313,2.638040865,0.451589931,0.548929585,0.560596297,2.238437525,2.33455395,2.734654684,-0.439886063,4.184095308,-0.533183395,-1.506037751,2.63294602,6.546763772,3.1170586,3.458805444,1.845476693,2.774598905,-2.186444249,2.254992519,1.050469418,2.927485466,0.279544823,0.661371714,1.114082622,1.379452888,-0.991886664,0.281823208,-0.79011077,-6.48861013,1.951797132
United Arab Emirates,ARE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,3.097306907,5.516138938,-13.6117817,7.18387947,10.97530592,-3.534486368,-12.12483156,-10.11176334,-1.608639993,-8.570465038,-20.12081994,-3.651285455,-8.852247083,5.556954378,11.58314134,-4.575279929,-1.921751266,-3.614620809,2.042957365,2.0870473,0.092720744,1.35949143,-5.716708524,-2.958957302,4.836129645,-3.851554147,-2.625471695,3.67104717,4.630576274,-2.190420613,-4.017715396,-13.9233874,-13.28742756,-17.1453939,-4.256385863,5.763433442,3.691201307,4.012692142,3.174202489,5.817357874,4.65350539,-0.087326072,0.517239889,0.323686531,-5.731044525,3.052400524
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.740902814,-2.454333032,-6.831393315,8.382751477,8.838850212,-2.20928541,1.587241218,3.20815605,8.001733126,1.443199663,3.998125312,0.020487332,1.136093322,3.754159661,-1.673528395,-3.563802521,5.238802842,-6.027002039,8.472518077,-0.077522758,-6.676587246,-2.285150415,2.735130038,0.021379788,-6.613093277,4.561114003,1.164689931,-2.570391833,-8.527911411,-3.877389883,7.589999664,6.450073131,6.747497372,4.420120785,-4.116880801,4.204967319,6.823321092,2.654347597,-4.492112129,-1.906987498,-5.453796978,-11.84595039,7.719229637,7.928157051,7.732496999,6.934981738,7.916210572,3.029785407,-6.867955225,9.844296398,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.757648183,-3.601609757,-2.969562499,-10.81261085,9.357175859
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.19114661,-41.09865025,-5.708269453,8.012920544,8.538542212,6.63186556,4.188979575,8.322090806,4.412252849,7.153578185,10.83797617,14.22429285,14.77383628,11.16164945,14.59145586,13.97648864,14.53610037,7.651455058,-13.54579168,2.824481883,5.319018352,7.735370834,3.764129648,4.010645933,3.606369078,0.646135943,8.024397049,5.769882149,8.2086495,-6.704049318,6.254220068
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.376760783,0.958704603,0.238921013,-3.394752379,2.67197034,-1.800450002,-3.257941095,1.245264257,0.992450746,-3.231910641,-1.21950184,3.279021642,4.854442301,0.113644342,-5.135339886,4.874061125,1.831713966,7.64030128,0.648377683
