Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GNI (current US$),NY.GNP.MKTP.CD,Afghanistan,AFG,20178945326.1251,18199126227.7945,19145017023.3571,18610257350.0941,19205014964.7728,20332384124.9184,14910923351.9261
GNI (current US$),NY.GNP.MKTP.CD,Albania,ALB,11521808375.0854,12053832974.203,13051480688.4971,15137993151.167,15200249154.3075,14881636667.2803,18006189075.0115
GNI (current US$),NY.GNP.MKTP.CD,Algeria,DZA,161667252615.417,158474001558.801,167558973804.439,170507068128.837,167568133680.09,142064920395.53,159457963756.549
GNI (current US$),NY.GNP.MKTP.CD,American Samoa,ASM,..,..,..,..,..,..,..
GNI (current US$),NY.GNP.MKTP.CD,Andorra,AND,..,..,..,..,3462263517.29542,..,..
GNI (current US$),NY.GNP.MKTP.CD,Angola,AGO,82784875170.84,47241256785.261,64733551804.3901,71783442934.3182,63042950935.8768,49106329133.1831,62080347392.0665
GNI (current US$),NY.GNP.MKTP.CD,Antigua and Barbuda,ATG,1252478555.55556,1339483000,1389228037.03704,1527993259.25926,1581477851.85185,1345593296.2963,1454600000
GNI (current US$),NY.GNP.MKTP.CD,Argentina,ARG,583615452086.538,545250717485.872,627200729011.574,506093900950.347,430166720596.329,375535785072.697,477411894672.847
GNI (current US$),NY.GNP.MKTP.CD,Armenia,ARM,10981745196.8255,10791194736.213,11933013744.2929,12658282415.5078,13798995614.7414,12445446287.6346,13455052221.0856
GNI (current US$),NY.GNP.MKTP.CD,Aruba,ABW,2838379888.26816,2848547486.03352,2921620111.73184,2987486033.51955,3215655666.91838,2541919139.36196,3033186790.617
GNI (current US$),NY.GNP.MKTP.CD,Australia,AUS,1323177469007.41,1178148202067.26,1290510596575.91,1383588869079.92,1345720926906.02,1297066630915.67,1535457123665.95
GNI (current US$),NY.GNP.MKTP.CD,Austria,AUT,378210199399.805,395807521992.608,413348647948.824,450535680731.058,443348064909.019,439084398837.667,482527650085.651
GNI (current US$),NY.GNP.MKTP.CD,Azerbaijan,AZE,51377317977.7474,35591903239.9574,39320590285.8471,44853529411.7647,46318529411.7647,42422882352.9412,53484117647.0588
GNI (current US$),NY.GNP.MKTP.CD,"Bahamas, The",BHS,11459300000,11394700000,11996900000,11990200000,12589700000,9260000000,10474400000
GNI (current US$),NY.GNP.MKTP.CD,Bahrain,BHR,29314738297.8723,30439494680.8511,33484122340.4255,35726063829.7872,36391941489.3617,32270186170.2128,..
GNI (current US$),NY.GNP.MKTP.CD,Bangladesh,BGD,207742686491.099,277662793832.598,303896929001.404,334230905986.902,365625699161.72,389378636013.591,438175109838.667
GNI (current US$),NY.GNP.MKTP.CD,Barbados,BRB,4511748850,4611375900,4757842100,4847483200,5057350000,4604300000,4747600000
GNI (current US$),NY.GNP.MKTP.CD,Belarus,BLR,54062079115.9111,45472290912.7463,52670933084.9247,57886444346.2898,62539439716.9902,58770700114.7729,65566628589.4355
GNI (current US$),NY.GNP.MKTP.CD,Belgium,BEL,468878816162.656,480629064768.328,507373706788.236,548107677571.921,541014491515.293,530570423697.745,599601791048.828
GNI (current US$),NY.GNP.MKTP.CD,Belize,BLZ,2115050000,2147050000,2160800000,2158750000,2253050000,2021350000,2413550000
GNI (current US$),NY.GNP.MKTP.CD,Benin,BEN,11295642530.0579,11718306954.0469,12561417748.3971,14105968057.8303,14248201879.9835,15488837234.8031,17599874022.8707
GNI (current US$),NY.GNP.MKTP.CD,Bermuda,BMU,6893729000,7095783000,7435279000,7460410000,7524540000,7090229000,7597926000
GNI (current US$),NY.GNP.MKTP.CD,Bhutan,BTN,1860822550.85196,1973485495.26529,2237541686.62932,2226677925.70497,2306109175.90524,2182329953.45296,2383913563.06111
GNI (current US$),NY.GNP.MKTP.CD,Bolivia,BOL,31873100511.8803,33320230250.4007,36398995788.5509,39311992849.0058,40059428638.4485,36212961241.3674,39368460624.6585
GNI (current US$),NY.GNP.MKTP.CD,Bosnia and Herzegovina,BIH,16322074454.2104,16936280696.7932,17928376166.878,20065949004.2245,20167965199.4734,19837425160.1631,23023924770.1984
GNI (current US$),NY.GNP.MKTP.CD,Botswana,BWA,13124848296.9691,13792073120.3904,14721861868.682,15330124500,15819870731.4125,14681334421.5359,16658075870.5907
GNI (current US$),NY.GNP.MKTP.CD,Brazil,BRA,1768302238329.98,1757603662733.08,2024930461458.92,1863643739312.5,1822980993357.84,1417763933368.25,1565632571166.39
GNI (current US$),NY.GNP.MKTP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..
GNI (current US$),NY.GNP.MKTP.CD,Brunei Darussalam,BRN,13580987708.197,12235956707.4495,12848520530.0891,13651197271.8511,13830513707.6675,12367616148.4381,14096219675.547
GNI (current US$),NY.GNP.MKTP.CD,Bulgaria,BGR,49201494559.0569,52276668552.0362,57866861423.221,64214124321.0622,66969441900.4007,67804452601.5265,81864864554.3597
GNI (current US$),NY.GNP.MKTP.CD,Burkina Faso,BFA,11293125626.5734,12261728542.5585,13577335799.2769,15387935651.7684,15326472487.9717,16664828374.0397,18717882892.8678
GNI (current US$),NY.GNP.MKTP.CD,Burundi,BDI,3104359957.63848,2638052588.72345,2713792162.88973,2665763959.69375,2583933984.44399,2664216794.82333,2787941797.87236
GNI (current US$),NY.GNP.MKTP.CD,Cabo Verde,CPV,1537742030.29208,1603567080.72478,1708731942.22494,1919739373.06773,1939681905.31112,1662754661.62237,1898443616.63668
GNI (current US$),NY.GNP.MKTP.CD,Cambodia,KHM,17053757291.2368,18967808919.4511,21037039141.5435,23246027821.2116,25525556830.0021,24826001039.293,25558378524.3952
GNI (current US$),NY.GNP.MKTP.CD,Cameroon,CMR,31773333574.251,33255787660.4609,35437229950.1582,39233893813.3556,38827845867.3758,39888925373.4455,44306780490.2416
GNI (current US$),NY.GNP.MKTP.CD,Canada,CAN,1532663548013.94,1509327936731.45,1628291572163.23,1695996608536.1,1719638539211.23,1627048914857.45,1974180237151.92
GNI (current US$),NY.GNP.MKTP.CD,Cayman Islands,CYM,2793106444.25777,3103094083.76335,3460583223.32893,3860699507.98032,4405497419.8968,4161116164.64659,..
GNI (current US$),NY.GNP.MKTP.CD,Central African Republic,CAF,1716880210.25294,1847781813.23295,2177935400.05043,2386745257.73409,2386023521.66114,2456788005.78888,2688202097.91811
GNI (current US$),NY.GNP.MKTP.CD,Chad,TCD,10618477273.031,9911697594.4878,9869508954.25817,11075017680.0106,11140998595.3498,9948225335.74479,11381134158.3072
