,CountryName,CountryCode,IndicatorName,IndicatorCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Aruba,ABW,GDPgrowth,NY.GDP.PCAP.KD.ZG,4.918353851,2.369192993,-2.134006061,0.117317036,6.318776765,-1.379148395,-0.049084365,1.838730741,0.577087557,-12.76604288,-3.827012996,2.400342452,-1.833977356,5.635317503,-0.709567171,2.885166185,1.515937914,4.917138767,4.73833114,0.181215792,-18.69832489,17.22530032
1,Africa Eastern and Southern,AFE,GDPgrowth,NY.GDP.PCAP.KD.ZG,0.750995728,1.036420739,1.265661533,0.466079711,2.788589203,3.361068655,3.757256466,3.719489508,1.495308477,-2.053726497,2.373742073,0.936366201,-1.850848324,1.402217261,1.182822434,0.169095106,-0.490755267,-0.106816094,-0.172926597,-0.596607,-5.433164392,1.64307984
3,Africa Western and Central,AFW,GDPgrowth,NY.GDP.PCAP.KD.ZG,0.96746547,2.352157043,6.931811484,2.641241871,5.051311757,2.928476492,2.476822797,2.636160144,3.355066293,3.349094643,4.004890236,1.947735058,2.259185273,3.256966796,3.094595125,0.021241575,-2.530711829,-0.39008582,0.269736033,0.542604688,-3.426405394,1.357097905
4,Angola,AGO,GDPgrowth,NY.GDP.PCAP.KD.ZG,-0.234945633,0.838227322,9.937307249,-0.466060748,7.127076561,11.00956557,7.614219203,9.935108707,7.163046012,-2.797289984,1.015922259,-0.347039841,4.536024436,1.101887143,1.028262426,-2.646419994,-6.01178347,-3.633445779,-4.676621686,-4.014917079,-8.635446212,-2.050716696
5,Albania,ALB,GDPgrowth,NY.GDP.PCAP.KD.ZG,7.630022439,9.314397139,4.850475334,5.924211542,5.956569596,6.067882439,6.572922982,6.787228936,8.328108423,4.053139864,4.223083827,2.821642455,1.584872815,1.187234353,1.985388092,2.516827054,3.480293217,3.897740606,4.276325654,2.523893723,-2.925820957,9.526027041
6,Andorra,AND,GDPgrowth,NY.GDP.PCAP.KD.ZG,2.83605354,5.372532989,0.076702358,4.196837094,3.882383777,1.578040219,4.292621435,4.22037542,-2.935382027,-2.478037072,1.222687703,1.340893892,-5.571255543,-4.026027034,2.140938982,1.257416013,2.574504588,-1.41657902,-0.003870296,0.23829657,-12.73507756,7.110481275
7,Arab World,ARB,GDPgrowth,NY.GDP.PCAP.KD.ZG,4.184095308,-0.533183395,-1.506037751,2.63294602,6.546763772,3.1170586,3.458805444,1.845476693,2.774598905,-2.186444249,2.254992519,1.050469418,2.927485466,0.279544823,0.661371714,1.114082622,1.379452888,-0.991886664,0.281823208,-0.79011077,-6.48861013,1.951797132
8,United Arab Emirates,ARE,GDPgrowth,NY.GDP.PCAP.KD.ZG,4.836129645,-3.851554147,-2.625471695,3.67104717,4.630576274,-2.190420613,-4.017715396,-13.9233874,-13.28742756,-17.1453939,-4.256385863,5.763433442,3.691201307,4.012692142,3.174202489,5.817357874,4.65350539,-0.087326072,0.517239889,0.323686531,-5.731044525,3.052400524
9,Argentina,ARG,GDPgrowth,NY.GDP.PCAP.KD.ZG,-1.906987498,-5.453796978,-11.84595039,7.719229637,7.928157051,7.732496999,6.934981738,7.916210572,3.029785407,-6.867955225,9.844296398,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.757648183,-3.601609757,-2.969562499,-10.81261085,9.357175859
10,Armenia,ARM,GDPgrowth,NY.GDP.PCAP.KD.ZG,7.153578185,10.83797617,14.22429285,14.77383628,11.16164945,14.59145586,13.97648864,14.53610037,7.651455058,-13.54579168,2.824481883,5.319018352,7.735370834,3.764129648,4.010645933,3.606369078,0.646135943,8.024397049,5.769882149,8.2086495,-6.704049318,6.254220068
